,基金代码
998,001336
999,001337
1000,001338
1001,001339
1002,001342
1003,001343
1004,001344
1005,001345
1006,001347
1007,001349
1008,001351
1009,001352
1010,001355
1011,001356
1012,001357
1013,001358
1014,001359
1015,001361
1016,001362
1017,001363
1018,001364
1019,001365
1020,001366
1021,001367
1022,001368
1023,001369
1024,001370
1025,001371
1026,001373
1027,001374
1028,001375
1029,001376
1030,001379
1031,001380
1032,001381
1033,001382
1034,001384
1035,001385
1036,001386
1037,001387
1038,001388
1039,001391
1040,001392
1041,001393
1042,001396
1043,001397
1044,001398
1045,001399
1046,001400
1047,001401
1048,001402
1049,001403
1050,001404
1051,001405
1052,001406
1053,001407
1054,001409
1055,001410
1056,001411
1057,001412
1058,001413
1059,001414
1060,001415
1061,001416
1062,001417
1063,001418
1064,001419
1065,001420
1066,001421
1067,001422
1068,001423
1069,001424
1070,001425
1071,001426
1072,001427
1073,001428
1074,001430
1075,001433
1076,001437
1077,001438
1078,001441
1079,001442
1080,001443
1081,001444
1082,001445
1083,001446
1084,001447
1085,001448
1086,001449
1087,001453
1088,001454
1089,001455
1090,001457
1091,001463
1092,001464
1093,001466
1094,001467
1095,001468
1096,001469
1097,001470
1098,001471
1099,001472
1100,001473
1101,001474
1102,001475
1103,001476
1104,001477
1105,001478
1106,001479
1107,001480
1108,001481
1109,001482
1110,001484
1111,001485
1112,001487
1113,001488
1114,001489
1115,001490
1116,001495
1117,001496
1118,001497
1119,001498
1120,001499
1121,001500
1122,001503
1123,001504
1124,001505
1125,001506
1126,001507
1127,001508
1128,001510
1129,001511
1130,001512
1131,001513
1132,001515
1133,001516
1134,001518
1135,001520
1136,001521
1137,001522
1138,001523
1139,001524
1140,001526
1141,001527
1142,001528
1143,001529
1144,001530
1145,001531
1146,001532
1147,001534
1148,001535
1149,001536
1150,001537
1151,001538
1152,001539
1153,001540
1154,001541
1155,001542
1156,001543
1157,001545
1158,001546
1159,001547
1160,001548
1161,001549
1162,001550
1163,001551
1164,001552
1165,001553
1166,001556
1167,001557
1168,001558
1169,001559
1170,001562
1171,001563
1172,001564
1173,001566
1174,001567
1175,001569
1176,001570
1177,001571
1178,001572
1179,001574
1180,001576
1181,001577
1182,001578
1183,001579
1184,001580
1185,001581
1186,001583
1187,001584
1188,001585
1189,001588
1190,001589
