,序号,ID,姓名,所属公司ID,所属公司,基金ID,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
1245,1246,30136523,刘元海,80048161,东吴基金,"001322,001323,002170,011241,014376,014377,580002","东吴新趋势价值线混合,东吴移动互联混合A,东吴移动互联混合C,东吴双动力混合C,东吴新能源汽车股票A,东吴新能源汽车股票C,东吴双动力混合A",3515,10.49,91.8
1246,1247,30337554,罗远航,80055334,华泰柏瑞基金,"000186,007958,008650,009953,013494,015370,460008,460108","华泰柏瑞季季红债券A,华泰柏瑞益通三个月定开债,华泰柏瑞益商一年定开债券,华泰柏瑞锦乾债券,华泰柏瑞锦元债券,华泰柏瑞季季红债券C,华泰柏瑞稳健收益债券A,华泰柏瑞稳健收益债券C",2709,179.07,29.7
1247,1248,30526568,刘禹含,80280395,兴业基金,"002301,002769,002912,005202,005388,012395,012396,015081,015082","兴业短债债券A,兴业短债债券C,兴业稳天盈货币A,兴业稳天盈货币B,兴业安弘3个月定开债,兴业60天滚动持有短债债券A,兴业60天滚动持有短债债券C,兴业90天中短债A,兴业90天中短债C",1866,294.71,15.39
1248,1249,30732189,刘雨卉,80446423,金信基金,"004077,004078,008571,008572","金信民发货币A,金信民发货币B,金信民达纯债A,金信民达纯债C",364,9.38,7.55
1249,1250,30642066,梁跃军,80560407,朱雀基金,"007493,007494,007880,007881,008294,008295,010141,010142,010922,011531","朱雀产业臻选混合A,朱雀产业臻选混合C,朱雀产业智选混合A,朱雀产业智选混合C,朱雀企业优胜A,朱雀企业优胜C,朱雀企业优选A,朱雀企业优选C,朱雀匠心一年持有,朱雀恒心一年持有混合",706,192.6,26.73
1250,1251,30709475,雷杨娟,80050229,上投摩根基金,"005366,005367,008844,008845,009895","上投摩根丰瑞债券A,上投摩根丰瑞债券C,上投摩根中债1-3年国开债指数A,上投摩根中债1-3年国开债指数C,上投摩根瑞盛87个月定开债",648,99.28,6.7
1251,1252,30727116,刘玉江,80000230,鹏华基金,160642,鹏华增瑞混合(LOF),416,6.76,-9.69
1252,1253,30742696,李玉杰,80548351,格林基金,"010145,010146","格林中短债债券A,格林中短债债券C",257,16.86,3.55
1253,1254,30334624,李玉良,80049689,诺安基金,"000714,002052,002067,002145,320016","诺安稳健回报灵活配置混合A,诺安稳健回报灵活配置混合C,诺安精选回报混合,诺安景鑫灵活配置混合,诺安多策略混合",2621,7.58,122.86
1254,1255,30739659,李宇璐,80000238,泰达宏利基金,"000319,000320,001141,001142,001418,002273,004001,004002,005315,005316,006099,007641,007642,162210,162215,162299","泰达淘利债券A,泰达淘利债券C,泰达宏利创盈混合A,泰达宏利创盈混合B,泰达宏利创益混合A,泰达宏利创益混合B,泰达宏利恒利债券A,泰达宏利恒利债券C,泰达宏利交利3个月定开债A,泰达宏利交利3个月定开债C,泰达宏利泽利债券,泰达宏利鑫利债券A,泰达宏利鑫利债券C,泰达宏利集利债券A,泰达宏利聚利债券(LOF),泰达宏利集利债券C",306,59.89,7.61
1255,1256,30747738,李元利,80065990,建信基金,508099,建信中关村REIT,158,0.04,
1256,1257,30047200,刘怡敏,80044515,国海富兰克林基金,"000065,164509,164510,450005,450006,450018,450019","国富焦点驱动混合,国富恒利债券(LOF)A,国富恒利债券(LOF)C,国富强化收益债券A,国富强化收益债券C,国富恒久信用债券A,国富恒久信用债券C",4946,24.07,111.12
1257,1258,30118273,厉叶淼,80000221,富国基金,"001827,005840,011037,100022","富国研究优选沪港深混合,富国产业驱动混合,富国长期成长混合,富国天瑞强势混合",2465,111.86,192.12
1258,1259,30325389,李一鸣,80355783,国寿安保基金管理,"002720,002721,003285,003514,004258,004259,004405,004406,006599,011771,011772,012451,013062","国寿安保尊利增强回报债券A,国寿安保尊利增强回报债券C,国寿安保安康纯债债券,国寿安保安享纯债,国寿安保稳嘉混合A,国寿安保稳嘉混合C,国寿安保稳寿混合A,国寿安保稳寿混合C,国寿安保安丰纯债债券,国寿安保稳隆混合A,国寿安保稳隆混合C,国寿安保安恒金融债债券,国寿安保安诚纯债一年定开债",2665,236.74,44.0
1259,1260,30735297,吕一楠,80175498,英大基金,"000912,008242,008243,009744,012381,014511,014512,015274,015275","英大现金宝货币A,英大通盈纯债债券A,英大通盈纯债债券C,英大现金宝货币B,英大通盈纯债债券E,英大安盈30天滚动持有债券发起式A,英大安盈30天滚动持有债券发起式C,英大安益中短债A,英大安益中短债C",329,322.23,2.24
1260,1261,30042971,梁永强,80664533,汇泉基金管理,"012412,013051,013052,013939,014825,014826","汇泉策略优选混合A,汇泉臻心致远混合A,汇泉臻心致远混合C,汇泉策略优选混合C,汇泉兴至未来一年持有混合A,汇泉兴至未来一年持有混合C",3872,30.6,-0.07
1261,1262,30164243,卢轶乔,80000237,银河基金,"005585,501307,501308,519613,519614,519615,519625,519626,519629,519630,519646,519652,519653,519655,519678","银河文体娱乐混合,银河中证沪港深高股息A,银河中证沪港深高股息C,银河君尚混合A,银河君尚混合C,银河君尚混合I,银河君盛混合A,银河君盛混合C,银河睿利混合A,银河睿利混合C,银河鑫利混合I,银河鑫利混合A,银河鑫利混合C,银河服务混合,银河消费混合",3427,30.02,122.17
1262,1263,30137559,林英睿,80000248,广发基金,"001763,005233,008099,012420,012449,012528,012529,013607,013608,014734,014735,270001","广发多策略混合,广发睿毅领先混合A,广发价值领先混合A,广发价值领先混合C,广发睿毅领先混合C,广发鑫睿一年持有期混合A,广发鑫睿一年持有期混合C,广发睿恒进取一年持有期混合A,广发睿恒进取一年持有期混合C,广发睿合混合A,广发睿合混合C,广发聚富混合",2356,170.47,153.08
1263,1264,30062897,李一硕,80000229,易方达基金,"000111,000112,001136,002600,007525,007526,007997,007998,009292,009293,010471,010472,011961,011962,013808,013809,110052,110053,161117","易方达纯债1年定开债A,易方达纯债1年定开债C,易方达裕如混合,易方达裕景添利6个月定开债,易方达年年恒夏一年定开债A,易方达年年恒夏一年定开债C,易方达年年恒秋一年定开债A,易方达年年恒秋一年定开债C,易方达年年恒春定开债A,易方达年年恒春定开债C,易方达年年恒实纯债一年定开A,易方达年年恒实纯债一年定开C,易方达稳鑫30天滚动持有短债A,易方达稳鑫30天滚动持有短债C,易方达稳悦120天滚动持有短债债券A,易方达稳悦120天滚动持有短债债券C,易方达安源中短债债券C,易方达安源中短债债券A,易方达永旭定开债",2859,291.81,59.97
1264,1265,30414339,卢玉珊,80000220,南方基金,"001181,001536,012426,012427,013590,013591,202213","南方改革机遇,南方君选,南方价值臻选混合A,南方价值臻选混合C,南方比较优势混合A,南方比较优势混合C,南方核心竞争混合",2323,18.19,100.99
1265,1266,30072182,乐育涛,80000235,银华基金,"161831,183001","银华恒生中国企业指数,银华全球优选",4017,2.79,19.02
1266,1267,30517541,李雅婷,10001043,国元证券,"970070,970140,970141","国元元赢四个月定开债,国元元赢30天持有期债券A,国元元赢30天持有期债券C",194,5.37,2.7
1267,1268,30061865,李怡文,80000251,景顺长城基金,"000385,000386,002065,002066,008999,009000,010011,010012,011018,011019,012138,012139,013225,013226,014148,014149","景顺长城景颐双利债券A,景顺长城景颐双利债券C,景顺长城景盛双息收益债券A,景顺长城景盛双息收益债券C,景顺景颐嘉利6个月持有期债券A,景顺景颐嘉利6个月持有期债券C,景顺景颐招利6个月持有期债券A,景顺景颐招利6个月持有期债券C,景顺长城安泽回报一年持有混合A,景顺长城安泽回报一年持有混合C,景顺长城安益回报一年持有混合A,景顺长城安益回报一年持有混合C,景顺长城安景一年持有期混合A,景顺长城安景一年持有期混合C,景顺长城安鼎一年持有期混合A,景顺长城安鼎一年持有期混合C",3444,696.67,5.14
1268,1269,30581680,陆怡雯,80000246,海富通基金,519013,海富通风格优势混合,615,3.57,-10.45
1269,1270,30161477,李永兴,80356155,永赢基金,"002521,002522,005711,006836,007113,007114,007944,008480,008481,011093,011203,011204,012530","永赢双利债券A,永赢双利债券C,永赢惠添利灵活配置混合,永赢惠泽一年,永赢高端制造混合A,永赢高端制造混合C,永赢乾元三年定开,永赢股息优选A,永赢股息优选C,永赢宏泽一年定开混合,永赢惠添益混合A,永赢惠添益混合C,永赢惠添盈一年持有混合",2789,118.6,89.05
1270,1271,30565435,李宜璇,80000235,银华基金,"005037,005038,005235,005236,015204,015205,159735,159822,159855,159862,159871,161815,161831,513160,516880,517000","银华新能源新材料A,银华新能源新材料C,银华食品饮料量化股票发起式A,银华食品饮料量化股票发起式C,银华全球新能源车量化优选股票(QDII)A,银华全球新能源车量化优选股票(QDII)C,银华中证港股通消费主题ETF,银华工银南方东英标普中国新经济ETF(QDII),银华中证影视主题ETF,银华中证细分食品饮料产业主题ETF,银华中证有色金属ETF,银华抗通胀主题,银华恒生中国企业指数,银华恒生港股通中国科技ETF,银华中证光伏产业ETF,银华中证沪港深500ETF",1597,47.51,77.92
1271,1272,30692468,李云鑫,80053708,汇添富基金,"001796,002158,002959,010439,010869,501065","汇添富安鑫智选混合A,汇添富安鑫智选混合C,汇添富盈泰混合,汇添富稳健汇盈一年持有期混合,汇添富稳健欣享一年持有混合,汇添富经典成长定开混合",720,54.83,33.46
1272,1273,30284945,李亦星,80184574,上海海通证券资产管理,"851810,851816,851860,851880","海通鑫选三个月持有债券A,海通鑫选三个月持有债券C,海通鑫逸债券A,海通鑫逸债券C",245,6.21,-0.9
1273,1274,30137813,李媛媛,80067635,汇丰晋信基金,"013824,540011,541011","汇丰晋信慧悦混合,汇丰晋信货币A,汇丰晋信货币B",3832,143.06,33.01
1274,1275,30360648,李韵怡,80000230,鹏华基金,"001329,001330,001336,001337,001453,001454,003186,003828,008058,008059,008119,501076","鹏华弘实混合A,鹏华弘实混合C,鹏华弘益混合A,鹏华弘益混合C,鹏华弘鑫混合A,鹏华弘鑫混合C,鹏华兴安定期开放混合,鹏华兴惠定期开放混合,鹏华鑫享稳健混合A,鹏华鑫享稳健混合C,鹏华金享混合,鹏华科创3年封闭混合",2483,44.39,48.88
1275,1276,30720620,罗英宇,80000230,鹏华基金,"012040,012810,012969,012970,159717,159739,159778,159813,160626,160636,160638,160639,502023","鹏华信息C,鹏华国证钢铁行业指数(LOF)C,鹏华国证半导体芯片ETF联接A,鹏华国证半导体芯片ETF联接C,鹏华国证ESG300ETF,鹏华中证云计算与大数据主题ETF,鹏华中证工业互联网主题ETF,鹏华国证半导体芯片ETF,鹏华信息A,鹏华中证移动互联网指数(LOF),鹏华中证一带一路主题指数(LOF),鹏华中证高铁产业指数(LOF),鹏华国证钢铁行业指数(LOF)A",504,39.38,12.92
1276,1277,30705521,刘勇驿,80280397,湘财基金,"009169,009170,009907,009908,010076,010077,010810,010811,013689,013690","湘财长兴灵活配置混合A,湘财长兴灵活配置混合C,湘财长泽灵活配置混合A,湘财长泽灵活配置混合C,湘财长弘灵活配置混合A,湘财长弘灵活配置混合C,湘财久盈中短债A,湘财久盈中短债C,湘财久盛39个月定期开放债券A,湘财久盛39个月定期开放债券C",672,14.19,13.41
1277,1278,30688788,吕沂洋,80380794,创金合信基金,"005838,005839,006076,006077,006824,006825,008125,008126,008959,009005,009006,009311,009386,009833,014266","创金合信中债1-3年政金债A,创金合信中债1-3年政金债C,创金合信恒利超短债债券A,创金合信恒利超短债债券C,创金合信鑫日享短债债券A,创金合信鑫日享短债债券C,创金合信中债1-3年国开债A,创金合信中债1-3年国开债C,创金合信恒利超短债债券E,创金合信鑫祺混合A,创金合信鑫祺混合C,创金合信鑫日享短债债券E,创金合信泰享39个月,创金合信泰博66个月定开债,创金合信汇鑫一年定开债券发起",872,211.5,8.29
1278,1279,30407680,李耀柱,80000248,广发基金,"000906,002121,005598,005777,009896,009897,010024,010452,010453,011420,011421,011422,011423,011637,011638,013955,270023","广发全球精选股票美元现汇,广发沪港深新起点股票A,广发中小盘精选混合A,广发科技动力股票,广发港股通成长精选股票A,广发港股通成长精选股票C,广发沪港深新起点股票C,广发瑞福精选混合A,广发瑞福精选混合C,广发全球科技三个月定开混合(QDII)人民币A,广发全球科技三个月定开混合(QDII)美元A,广发全球科技三个月定开混合(QDII)人民币C,广发全球科技三个月定开混合(QDII)美元C,广发沪港深价值成长混合A,广发沪港深价值成长混合C,广发中小盘精选混合C,广发全球精选股票(QDII)",2336,179.86,35.12
1279,1280,30734696,李延峥,80488954,富荣基金,"012545,012546,013345,013346","富荣福银混合A,富荣福银混合C,富荣信息技术混合A,富荣信息技术混合C",326,3.86,-17.06
1280,1281,30176526,刘钊,80000226,博时基金,"005062,005795,010872,010873,013465,013466","博时中证500指数增强A,博时中证500指数增强C,博时沪深300指数增强A,博时沪深300指数增强C,博时智选量化多因子股票A,博时智选量化多因子股票C",1636,8.74,-12.18
1281,1282,30442108,林铮,80280036,圆信永丰基金,"002073,002074,002932,002933,004178,004179,005436,009054,011101","圆信永丰兴融A,圆信永丰兴融C,圆信永丰强化收益A,圆信永丰强化收益C,圆信永丰丰润货币A,圆信永丰丰润货币B,圆信永丰兴瑞定开债,圆信永丰沣泰混合,圆信永丰瑞丰66个月定开债",2220,174.98,16.56
1282,1283,30475846,李志,80000246,海富通基金,"010130,010131,010568,010569,519025,519033","海富通惠增一年定开混合A,海富通惠增一年定开混合C,海富通惠睿精选混合A,海富通惠睿精选混合C,海富通领先成长混合,海富通国策导向混合",1821,26.31,63.65
1283,1284,30565164,李直,80000223,嘉实基金,"000008,005998,012543,012544,013315,013316,014602,014603,014604,014605,070023,070039,159613,159741,159831,159910,159922,160716,160719,160725,512750,516550,588400","嘉实中证500ETF联接A,嘉实深证基本面120联接C,嘉实中证新能源汽车指数A,嘉实中证新能源汽车指数C,嘉实中证科创创业50ETF发起联接A,嘉实中证科创创业50ETF发起联接C,嘉实中证医疗指数发起式A,嘉实中证医疗指数发起式C,嘉实中证光伏产业指数发起式A,嘉实中证光伏产业指数发起式C,嘉实深证基本面120联接A,嘉实中证500ETF联接C,嘉实中证信息安全主题ETF,嘉实恒生科技ETF(QDII),嘉实上海金ETF,嘉实深证基本面120ETF,嘉实中证500ETF,嘉实基本面50指数(LOF)A,嘉实黄金,嘉实基本面50指数(LOF)C,嘉实中证锐联基本面ETF,嘉实中证大农业ETF,嘉实中证科创创业50ETF",1596,105.94,22.19
1284,1285,30690664,林翟,80365985,北信瑞丰,"002745,004564,005193","北信瑞丰丰利混合,北信瑞丰鼎利债券A,北信瑞丰鼎利债券C",851,4.87,4.62
1285,1286,30716458,李喆,80000226,博时基金,"004434,004435,011874,011875,013450,013451","博时逆向投资混合A,博时逆向投资混合C,博时先进制造混合A,博时先进制造混合C,博时凤凰领航混合A,博时凤凰领航混合C",559,46.41,-7.62
1286,1287,30731567,李政,80000230,鹏华基金,"003741,007500","鹏华丰盈债券,鹏华尊诚定开债发起式",374,24.61,4.29
1287,1288,30130463,刘芷冰,80055334,华泰柏瑞基金,"008526,008527","华泰柏瑞行业精选A,华泰柏瑞行业精选C",321,0.79,-29.08
1288,1289,30752008,李子波,80156175,上海国泰君安资管,"014157,952004","国泰君安创新医药混合发起,国泰君安君得明混合",138,22.43,-8.19
1289,1290,30693678,刘振超,80391977,华泰证券(上海)资产管理,"006654,006655,009638,009639,011494,011495,015141,015142","华泰紫金季季享定开债A,华泰紫金季季享定开债C,华泰紫金周周购12个月滚动债发起A,华泰紫金周周购12个月滚动债发起C,华泰紫金丰和偏债混合A,华泰紫金丰和偏债混合C,华泰紫金周周购6个月滚动债A,华泰紫金周周购6个月滚动债C",777,5.2,2.74
1290,1291,30728620,郎振东,80000248,广发基金,"001115,001116,003037,003038,007251,011702","广发聚安混合A,广发聚安混合C,广发集瑞债券A,广发集瑞债券C,广发睿享稳健增利混合A,广发睿享稳健增利混合C",396,11.66,-0.9
1291,1292,30741588,廉赵峰,80000222,华夏基金,"012776,012777","华夏聚鑫六个月持有(FOF)A,华夏聚鑫六个月持有(FOF)C",237,30.33,-1.42
1292,1293,30056329,闾志刚,80066470,中信保诚基金,"000551,005977,005978","信诚幸福消费混合,中信保诚至兴混合A,中信保诚至兴混合C",4472,8.97,75.92
1293,1294,30506712,刘志辉,80000248,广发基金,"002134,002864,002865,002925,002926,004027,004028,008130,008362,008366,008608,009955,015323","广发鑫裕混合A,广发安泽短债债券A,广发安泽短债债券C,广发集源债券A,广发集源债券C,广发景源纯债A,广发景源纯债C,广发汇优66个月定期开放债券,广发汇成一年定期开放债券,广发汇明一年定期开放债券,广发汇浦三年定期开放债券,广发鑫裕混合C,广发集源债券E",2000,291.44,28.47
1294,1295,30691067,刘哲华,80067635,汇丰晋信基金,540007,汇丰晋信中小盘股票,841,0.61,14.49
1295,1296,30325983,林忠晶,80139382,长安基金,"000496,001281,002071,002072,006371,006372","长安产业精选混合A,长安鑫利优选混合A,长安产业精选混合C,长安鑫利优选混合C,长安鑫盈混合A,长安鑫盈混合C",2660,12.6,80.11
1296,1297,30549027,刘重晋,80365986,中金基金,"001059,003582,005396,005405,005406,005489,005490,006279,006280,006341,006342,008519,008520","中金绝对收益,中金量化多策略混合,中金丰硕混合,中金金序量化蓝筹A,中金金序量化蓝筹C,中金衡优灵活配置混合A,中金衡优灵活配置混合C,中金瑞祥A,中金瑞祥C,中金MSCI质量A,中金MSCI质量C,中金中证沪港深优选消费50指数A,中金中证沪港深优选消费50指数C",1742,11.64,31.79
1297,1298,30577463,刘重杰,80036782,招商基金,"004409,008236,008237,012643,012644,013195,013196,014414,014415,159701,159750,159815,159843,159890,159909,159975,217019,515080,516670,517900,561900","招商深证TMT50ETF联接C,招商深证100ETF联接A,招商深证100ETF联接C,招商中证红利ETF联接A,招商中证红利ETF联接C,招商中证新能源汽车指数A,招商中证新能源汽车指数C,招商中证畜牧养殖ETF联接A,招商中证畜牧养殖ETF联接C,招商中证物联网主题ETF,招商中证香港科技ETF(QDII),招商中证浙江100ETF,招商国证食品饮料ETF,招商中证云计算ETF,招商深证TMT50ETF,招商深证100ETF,招商深证TMT50ETF联接A,招商中证红利ETF,招商中证畜牧养殖ETF,招商中证银行AH价格优选ETF,招商沪深300ESG基准ETF",1466,30.07,50.5
1298,1299,30574972,刘志军,80355783,国寿安保基金管理,"005043,005044,009502,009503","国寿安保健康科学混合A,国寿安保健康科学混合C,国寿安保创新医药股票A,国寿安保创新医药股票C",1485,1.53,22.32
1299,1300,30750450,黎志军,80163340,安信基金,"000433,012891","安信鑫发优选混合A,安信鑫发优选混合C",179,1.23,-17.68
1300,1301,30747742,李卓锴,80000223,嘉实基金,"003880,008338,008339","嘉实稳骏,嘉实安元39个月定期纯债A,嘉实安元39个月定期纯债C",206,206.87,1.86
1301,1302,30195060,赖中立,80053708,汇添富基金,"002418,010789,013129,013130,013816,013817,014218,014219,159912,164701,164705,470021,470068,501030,501031,501305,501306","汇添富优选回报灵活配置混合C,汇添富恒生指数C,汇添富消费龙头指数发起A,汇添富消费龙头指数发起C,汇添富中证光伏产业指数增强发起式A,汇添富中证光伏产业指数增强发起式C,添富中证科创创业50指数增强A,添富中证科创创业50指数增强C,汇添富深证300ETF,汇添富黄金及贵金属,汇添富恒生指数A,汇添富优选回报灵活配置混合A,汇添富深证300ETF联接,汇添富中证环境治理指数A,汇添富中证环境治理指数C,汇添富中证港股通(LOF)A,汇添富中证港股通(LOF)C",3477,17.93,55.53
1302,1303,30071658,陆志明,80000248,广发基金,"004854,004855,004856,004857,005063,005064,006486,006487,007784,007785,009472,013810,013811,159611,162714,515600,560880,588060","广发中证全指汽车指数A,广发中证全指汽车指数C,广发中证全指建筑材料指数A,广发中证全指建筑材料指数C,广发中证全指家用电器指数A,广发中证全指家用电器指数C,广发中证1000指数A,广发中证1000指数C,广发央企创新驱动ETF联接A,广发央企创新驱动ETF联接C,广发深证100指数(LOF)C,广发科创板50ETF发起联接A,广发科创板50ETF发起联接C,广发中证全指电力公用事业ETF,广发深证100指数(LOF)A,广发央企创新ETF,广发中证全指家用电器ETF,广发上证科创板50成份ETF",3994,88.42,0.73
1303,1304,30731322,梁仲平,80000248,广发基金,"000274,000275,013508,013509","广发亚太中高收益债(QDII)A,广发亚太中高收益债美元现汇(QDII)A,广发亚太中高收益债(QDII)C,广发亚太中高收益债美元现汇(QDII)C",375,0.51,-8.82
1304,1305,30043465,刘自强,80000250,华宝基金,240004,华宝动力组合,5165,10.49,199.36
1305,1306,30515277,雷志强,80280395,兴业基金,"002638,003671,004216,004217,005710,008042,008043,009105,013213","兴业天融债券,兴业裕恒债券,兴业安润货币A,兴业安润货币B,兴业嘉润3个月定开债,兴业中证银行50金融债指数A,兴业中证银行50金融债指数C,兴业嘉荣一年定开债券,兴业嘉鸿一年定开债发起式",1952,693.15,12.4
1306,1307,30726304,厉卓然,80000250,华宝基金,"000678,240006,240007","华宝现金宝货币E,华宝现金宝货币A,华宝现金宝货币B",427,587.25,2.67
1307,1308,30723869,李哲通,80368700,兴银基金,"010253,011205,014831,014832","兴银中证500指数增强A,兴银中证500指数增强C,兴银中证1000指数增强A,兴银中证1000指数增强C",435,4.72,-10.32
1308,1309,30563454,李志武,80380794,创金合信基金,"012315,012316","创金合信港股通成长股票A,创金合信港股通成长股票C",278,0.19,-34.38
1309,1310,30283643,李振兴,80000220,南方基金,"002851,004703,005123,006587,010846,010847,011903,011904,013501","南方品质优选灵活配置混合A,南方兴盛混合,南方优享分红混合A,南方优享分红混合C,南方卓越优选3个月持有期混合A,南方卓越优选3个月持有期混合C,南方领航优选混合A,南方领航优选混合C,南方品质优选灵活配置混合C",2653,46.55,79.7
1310,1311,30665216,雷志勇,80036797,摩根士丹利华鑫基金,"002707,002885,010322,011712,014871","大摩科技领先混合A,大摩万众创新混合A,大摩新兴产业股票,大摩万众创新混合C,大摩科技领先混合C",1116,5.54,66.29
1311,1312,30720618,李中阳,80000229,易方达基金,"000189,001182,006867,009900,009901,014904,014905","易方达丰华债券A,易方达安心回馈混合,易方达丰华债券C,易方达磐固六个月持有期混合A,易方达磐固六个月持有期混合C,易方达悦稳一年持有混合A,易方达悦稳一年持有混合C",356,291.55,-0.09
1312,1313,30726170,李正一,80168726,平安基金,011557,平安稳健养老一年持有期混合(FOF),368,4.88,1.5
1313,1314,30052828,柳祚勇,80404004,长江证券(上海),"013971,890005","长江尊利债券C,长江尊利债券A",70,0.48,-2.73
1314,1315,30724237,李争争,80066470,中信保诚基金,"010958,012721","信诚养老2035三年持有混合(FOF),中信保诚养老目标日期2040三年持有期混合(FOF)",420,0.95,-6.34
1315,1316,30719712,吕智卓,81102343,兴华基金管理,"010999,011000,012814,013691,013692,015451,015452","兴华瑞丰混合A,兴华瑞丰混合C,兴华安盈一年定开债券发起式,兴华安恒纯债A,兴华安恒纯债C,兴华安丰纯债A,兴华安丰纯债C",496,33.5,3.22
1316,1317,30402513,马斌博,80403111,浙商证券资管,"000935,001604,013145,014492,014493,169201","浙商汇金转型成长,浙商汇金转型升级灵活配置混合,浙商汇金先进制造混合,浙商汇金兴利增强债券A,浙商汇金兴利增强债券C,浙商鼎盈事件驱动混合",1595,3.86,38.44
1317,1318,30672364,万纯,80356155,永赢基金,"006836,007538,007539,007664,007665,008723,011093,013415,013416,013907,013908,159721,159883,159999,515930","永赢惠泽一年,永赢沪深300A,永赢沪深300C,永赢创业板指数发起式A,永赢创业板指数发起式C,永赢鑫享混合,永赢宏泽一年定开混合,永赢中证全指医疗器械ETF发起联接A,永赢中证全指医疗器械ETF发起联接C,永赢深创100ETF发起式联接A,永赢深创100ETF发起式联接C,永赢深证创新100ETF,永赢中证全指医疗器械ETF,永赢中证500ETF,永赢沪深300ETF",1075,49.34,45.51
1318,1319,30751968,马超,80380794,创金合信基金,"002311,002316,004359,004360","创金合信中证500指数增强A,创金合信中证500指数增强C,创金合信量化核心混合A,创金合信量化核心混合C",160,5.92,-14.55
1319,1320,30053345,孟晨波,80050229,上投摩根基金,"000712,000713,370010,370011","上投摩根天添宝货币A,上投摩根天添宝货币B,上投摩根货币A,上投摩根货币B",4618,837.14,40.62
1320,1321,30040332,毛从容,80000251,景顺长城基金,"008999,009000,010478,011018,011019,011997,011998,012138,012139,013645,013646,014767,014768","景顺景颐嘉利6个月持有期债券A,景顺景颐嘉利6个月持有期债券C,景顺长城泰祥回报混合,景顺长城安泽回报一年持有混合A,景顺长城安泽回报一年持有混合C,景顺长城安盈回报一年持有混合A,景顺长城安盈回报一年持有混合C,景顺长城安益回报一年持有混合A,景顺长城安益回报一年持有混合C,景顺长城景泰鼎利一年定开纯债A,景顺长城景泰鼎利一年定开纯债C,景顺长城华城稳健6个月持有期混合A,景顺长城华城稳健6个月持有期混合C",6187,166.82,11.42
1321,1322,30660324,马丁,80000228,华安基金,"002768,014820,014821,160415,516900,517360","华安安进灵活配置混合,华安创新医药锐选量化股票发起式A,华安创新医药锐选量化股票发起式C,华安量化多因子混合(LOF),华安中证申万食品饮料ETF,华安中证沪港深科技100ETF",1138,2.01,14.08
1322,1323,30519428,缪东航,80036797,摩根士丹利华鑫基金,"000594,233007,233011","大摩进取优选股票,大摩卓越成长混合,大摩主题优选混合",1931,12.7,70.3
1323,1324,30712198,马芳,80102419,国金基金,"005443,006195,014805,014806","国金量化多策略混合,国金量化多因子,国金量化精选混合A,国金量化精选混合C",614,2.78,5.99
1324,1325,30710473,万方方,80000222,华夏基金,"002251,013566,015710,015711","华夏军工安全混合A,华夏军工安全混合C,华夏高端装备龙头混合发起式A,华夏高端装备龙头混合发起式C",637,44.78,1.42
1325,1326,30381870,闵杭,80086876,金元顺安基金,"004093,007115,014659,014660,620001,620006","金元顺安桉盛债券A,金元顺安桉盛债券C,金元顺安行业精选混合A,金元顺安行业精选混合C,金元顺安宝石动力混合,金元顺安消费主题混合",2398,15.73,40.86
1326,1327,30350712,冒浩,80355783,国寿安保基金管理,"004318,004319","国寿安保尊裕优化回报债券A,国寿安保尊裕优化回报债券C",529,3.55,-0.49
1327,1328,30569885,孟昊,80000230,鹏华基金,"000409,000431,006526,012785,012786,012997,013534,013535,014756,014757,160624","鹏华环保产业股票,鹏华品牌传承混合,鹏华优选回报混合A,鹏华品质精选混合A,鹏华品质精选混合C,鹏华优选回报混合C,鹏华沃鑫混合A,鹏华沃鑫混合C,鹏华成长领航两年持有期混合A,鹏华成长领航两年持有期混合C,鹏华消费领先混合",1550,93.38,179.74
1328,1329,30342561,莫海波,80000240,万家基金,"005094,009199,161912,161913,519181,519195,519196","万家臻选混合,万家价值优势一年持有期混合,万家社会责任18个月定开A,万家社会责任18个月定开C,万家和谐增长混合,万家品质,万家新兴蓝筹灵活配置混合",2561,91.12,270.3
1329,1330,30757789,孟浩之,80000221,富国基金,"014663,014664","富国创新发展两年定开混合A,富国创新发展两年定开混合C",104,2.52,-5.08
1330,1331,30185328,马君,80000235,银华基金,"005035,005036,005237,005238,005260,005261,008889,010524,012928,012929,159822,159827,159842,159992,159994","银华信息科技量化股票发起式A,银华信息科技量化股票发起式C,银华医疗健康量化优选A,银华医疗健康量化优选C,银华稳健增利灵活配置混合A,银华稳健增利灵活配置混合C,银华中证5G通信主题ETF联接A,银华中证5G通信主题ETF联接C,银华中证光伏ETF发起式联接A,银华中证光伏ETF发起式联接C,银华工银南方东英标普中国新经济ETF(QDII),银华中证农业主题ETF,银华中证全指证券公司ETF,银华中证创新药产业ETF,银华中证5G通信主题ETF",3535,78.03,38.94
1331,1332,30710521,麦静,80000226,博时基金,"007070,007071,007649,010046,010047,012996,013022,013043,013061","博时颐泽稳健养老(FOF)A,博时颐泽稳健养老(FOF)C,博时颐泽平衡养老(FOF),博时金福安一年持有混合(FOF)A,博时金福安一年持有混合(FOF)C,博时养老2035三年持有混合发起(FOF),博时养老2040五年持有混合发起(FOF),博时养老目标2045五年持有混合发起(FOF),博时养老目标2050五年持有混合发起(FOF)",614,5.83,1.63
1332,1333,30712354,孟杰,80000238,泰达宏利基金,"003501,013280,162204","泰达睿智稳健混合A,泰达睿智稳健混合C,泰达宏利行业混合",610,10.85,30.32
