,序号,ID,姓名,所属公司ID,所属公司,基金ID,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
79,80,30582108,陈觉平,80145102,东方红资产管理,"008428,009806,009807,009842,012088,012089,012949,012950,014573,169106,169108","东方红鑫裕两年定开信用债,东方红招盈甄选一年混合A,东方红招盈甄选一年混合C,东方红明鉴优选两年定开混合,东方红锦和甄选18个月持有混合A,东方红锦和甄选18个月持有混合C,东方红招瑞甄选18个月持有混合A,东方红招瑞甄选18个月持有混合C,东方红锦弘甄选两年持有混合,东方红创新优选定开混合,东方红均衡优选定开混合",1414,90.72,32.51
80,81,30325617,曹晋文,80036782,招商基金,"000808,000809,001693,002298,002299,004261,004262,011258,015643,159003,159004,217025,217026","招商招利1个月期理财债券A,招商招利1个月期理财债券B,招商招利1个月期理财债券C,招商招福宝货币A,招商招福宝货币B,招商招禧宝货币A,招商招禧宝货币B,招商保证金快线D,招商中证同业存单AAA指数7天持有,招商保证金快线A,招商保证金快线B,招商理财7天债券A,招商理财7天债券B",1677,213.77,1.25
81,82,30554638,陈金伟,80000236,宝盈基金,"001075,001128,001487,001877,012771,012815,013613,013895,013896,015389","宝盈转型动力混合A,宝盈新兴产业混合A,宝盈优势产业混合A,宝盈国家安全沪港深股票A,宝盈优势产业混合C,宝盈新兴产业混合C,宝盈国家安全沪港深股票C,宝盈成长精选混合A,宝盈成长精选混合C,宝盈转型动力混合C",535,70.54,18.22
82,83,30567056,陈健玮,80053708,汇添富基金,"005228,005504,006205,015118,015119,470888","汇添富港股通专注成长,添富沪港深大盘价值混合A,汇添富沪港深优势定开,添富沪港深大盘价值混合C,添富沪港深大盘价值混合D,汇添富香港混合(QDII)",1547,8.91,-8.34
83,84,30749153,程嘉伟,80403111,浙商证券资管,"006515,006516,008615,008616,014083,014084,014490,014491","浙商汇金短债E,浙商汇金短债A,浙商汇金聚泓两年定开债A,浙商汇金聚泓两年定开债C,浙商汇金月享30天滚动持有中短债A,浙商汇金月享30天滚动持有中短债C,浙商双月鑫60天滚动持有中短债A,浙商双月鑫60天滚动持有中短债C",172,70.62,2.3
84,85,30751632,曹建文,80000248,广发基金,"006298,007249,007668,007904,009322,012106","广发稳健养老(FOF),广发均衡养老三年持有混合(FOF),广发养老2035三年持有期混合(FOF),广发锐意进取3个月持有混合(FOF)A,广发锐意进取3个月持有混合(FOF)C,广发安泰稳健养老一年持有混合(FOF)",162,17.05,-0.6
85,86,30752228,陈洁馨,80106677,民生加银基金,"006072,009898,014758,014929","民生加银创新成长混合A,民生加银医药健康股票A,民生加银医药健康股票C,民生加银创新成长混合C",158,3.83,-22.29
86,87,30302515,陈佳昀,80000240,万家基金,"000773,004811,011243,011244,015705,161908,519186,519187","万家现金宝A,万家现金宝B,万家惠裕回报6个月持有期混合A,万家惠裕回报6个月持有期混合C,万家现金宝E,万家添利债券(LOF),万家稳健增利债券A,万家稳健增利债券C",1800,164.5,41.57
87,88,30198131,程琨,80000248,广发基金,"000747,002624,010021,011427,011428,011758,011866,011867,270008,270025","广发逆向策略混合A,广发优企精选混合A,广发优企精选混合C,广发价值驱动混合A,广发价值驱动混合C,广发逆向策略混合C,广发价值增长混合A,广发价值增长混合C,广发核心精选混合,广发行业领先混合A",3381,54.99,165.77
88,89,30516945,蔡卡尔,80000221,富国基金,"005626,005627,005707,014163,014406,014407,014673,014674,159748,159792,159886,161035,161037,515400,516830,561130","富国中证医药主题指数增强C,富国中证高端制造指数增强型(LOF)C,富国港股通量化精选股票A,富国港股通量化精选股票C,富国中证新华社民族品牌工程ETF联接A,富国中证新华社民族品牌工程ETF联接C,富国中证港股通互联网ETF发起式联接A,富国中证港股通互联网ETF发起式联接C,富国沪港深创新药产业ETF,富国中证港股通互联网ETF,富国细分机械设备产业主题ETF,富国中证医药主题指数增强A,富国中证高端制造指数增强型(LOF)A,富国中证大数据产业ETF,富国沪深300ESG基准ETF,富国中证新华社民族品牌工程ETF",1950,24.92,70.66
89,90,30053934,陈凯杨,80000226,博时基金,"000277,002781,007536,008411,012487,012488,013068,013069,015397,050006,050106,501100","博时双月薪定期支付债券,博时聚瑞6个月定开债,博时富乐纯债债券,博时富信纯债债券,博时恒玺一年持有期混合A,博时恒玺一年持有期混合C,博时双月享60天滚动持有债券A,博时双月享60天滚动持有债券C,博时富鸿金融债3个月定开债,博时稳定价值债券B,博时稳定价值债券A,博时安康定开债(LOF)",3442,138.04,88.97
90,91,30081476,常璐,80294346,太平基金,"000986,009794,013422","太平灵活配置,太平智选一年定开股票,太平智行三个月定开混合发起式",889,25.77,3.03
91,92,30201169,陈立,80000245,金鹰基金,"009968,009969,012541,012542,210004,210005","金鹰内需成长混合A,金鹰内需成长混合C,金鹰产业升级混合A,金鹰产业升级混合C,金鹰稳健成长混合,金鹰主题优势混合",3190,32.19,198.98
92,93,30298569,陈雷,80175511,德邦基金,"002704,002705,003176,003177","德邦锐兴债券A,德邦锐兴债券C,德邦景颐债券A,德邦景颐债券C",1288,41.02,1.83
93,94,30286580,陈梁,80075936,中邮基金,"003513,009415,009416,013229,013230,590001,590002,590005","中邮消费升级,中邮瑞享两年定开混合A,中邮瑞享两年定开混合C,中邮睿丰增强债券A,中邮睿丰增强债券C,中邮核心优选混合,中邮核心成长混合,中邮核心主题混合",2847,68.71,53.68
94,95,30296880,陈雷,80000226,博时基金,"000264,011982,050018","博时内需增长混合A,博时内需增长混合C,博时行业轮动混合",2811,5.23,86.08
95,96,30366278,陈龙,80000230,鹏华基金,"007932,008001,010364,012041,012044,159867,159982,159993,160625,160630,160633,160643","鹏华中证500ETF联接A,鹏华中证500ETF联接C,鹏华空天军工指数(LOF)C,鹏华国防C,鹏华券商C,鹏华中证畜牧养殖ETF,鹏华中证500ETF,鹏华国证证券龙头ETF,鹏华证券保险指数(LOF),鹏华国防A,鹏华券商A,鹏华空天军工指数(LOF)A",2151,121.35,52.38
96,97,30357471,陈利,80391977,华泰证券(上海)资产管理,"004749,009638,009639,009844,009845,015141,015142,511670","华泰紫金天天金交易型货币B,华泰紫金周周购12个月滚动债发起A,华泰紫金周周购12个月滚动债发起C,华泰紫金丰安27个月定开债券A,华泰紫金丰安27个月定开债券C,华泰紫金周周购6个月滚动债A,华泰紫金周周购6个月滚动债C,华泰紫金天天金交易型货币A",2006,89.53,10.34
97,98,30574436,陈黎,80000226,博时基金,"002519,002698,003023,003258,005820,007996,008411,008674,009168","博时裕景纯债,博时裕利纯债债券,博时景发纯债债券,博时富祥纯债债券A,博时富兴纯债3个月定开债发起式,博时富顺纯债债券,博时富信纯债债券,博时稳悦63个月定开债,博时富祥纯债债券C",1492,240.59,18.45
